                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3384,                 3.5646,                 1.7336,                0.63535,                 0.5176,                0.54029,                0.33815,                 1.5264,                  5.771,                  2.513,             0.00018337,             0.00018337,             0.00018337
                      2,                0.90395,                 1.6603,                 1.3624,                0.25664,                0.55556,                0.20573,                0.10219,                 1.8575,                 5.0879,                 3.4268,             0.00037582,             0.00037582,             0.00037582
                      3,                 0.7566,                 1.1903,                 1.2787,                 0.6603,                0.22222,                0.11965,                0.06697,                 2.5184,                 6.4121,                 4.8367,             0.00056035,             0.00056035,             0.00056035
                      4,                0.74574,                 1.0733,                 1.2299,                0.19779,                0.22222,                0.16005,                0.06083,                  2.793,                 9.5931,                 6.1025,             0.00073695,             0.00073695,             0.00073695
                      5,                0.75717,                0.96516,                 1.2669,                0.17923,                0.13889,                0.17138,                0.05759,                 2.5126,                 3.0658,                 3.7495,             0.00090563,             0.00090563,             0.00090563
                      6,                 0.7307,                0.92472,                   1.23,                 0.0667,                0.05556,                0.02012,                0.00671,                 3.0901,                 6.0984,                 3.7002,              0.0010664,              0.0010664,              0.0010664
                      7,                0.75829,                0.79847,                 1.2411,                0.01461,                0.05556,                0.00577,                0.00143,                 3.2117,                 5.5185,                 4.0713,              0.0012192,              0.0012192,              0.0012192
                      8,                 0.7962,                0.93316,                 1.2784,                0.09506,                0.02778,                0.02003,                0.00823,                 3.1545,                 5.6673,                 4.3673,              0.0013642,              0.0013642,              0.0013642
                      9,                0.70957,                0.82271,                 1.1999,                0.07588,                0.11111,                0.03797,                0.01602,                 2.7458,                 5.0509,                 4.0809,              0.0014029,              0.0014029,              0.0014029
                     10,                0.69604,                0.77616,                 1.2001,                0.12868,                0.22222,                0.12669,                0.05136,                 2.8105,                 4.3348,                 3.9619,              0.0014029,              0.0014029,              0.0014029
                     11,                0.69849,                 0.8106,                 1.2149,                0.07618,                0.11111,                0.03081,                0.00715,                  3.109,                 3.5965,                 4.7067,              0.0013699,              0.0013699,              0.0013699
                     12,                0.68341,                0.74598,                 1.1855,                0.05459,                0.02778,                0.00557,                0.00136,                 3.8107,                 4.1902,                 4.8324,              0.0013369,              0.0013369,              0.0013369
                     13,                0.67028,                0.79985,                  1.181,                0.64545,                0.11111,                0.08324,                0.02302,                 3.3026,                 3.6934,                 5.0862,              0.0013039,              0.0013039,              0.0013039
                     14,                0.67244,                0.72274,                 1.1717,                0.69946,                0.19444,                0.13969,                0.05044,                 2.6437,                 2.8452,                 4.7723,              0.0012709,              0.0012709,              0.0012709
                     15,                  0.622,                0.68884,                 1.1669,                0.65691,                0.19444,                0.11683,                0.03714,                 2.9415,                 4.3914,                 3.8929,              0.0012379,              0.0012379,              0.0012379
                     16,                0.62982,                0.65581,                 1.1112,                0.12667,                0.27778,                0.12146,                0.04655,                 2.8393,                 2.8956,                 4.2085,              0.0012049,              0.0012049,              0.0012049
                     17,                0.60038,                0.67321,                 1.1243,                0.54387,                0.19444,                0.04015,                0.01887,                 2.9505,                 3.6768,                 3.5854,              0.0011719,              0.0011719,              0.0011719
                     18,                0.60558,                0.66942,                 1.1394,                0.95109,                0.19444,                0.26231,                0.09594,                 2.6046,                  2.513,                 3.1785,              0.0011389,              0.0011389,              0.0011389
                     19,                0.60857,                0.64354,                 1.1527,                0.72186,                0.24396,                0.18038,                0.06126,                 2.7353,                 2.6147,                 3.6963,              0.0011059,              0.0011059,              0.0011059
                     20,                0.56675,                0.64317,                 1.1121,                0.17943,                   0.14,                0.11728,                0.03158,                 2.6871,                 2.9468,                  3.768,              0.0010729,              0.0010729,              0.0010729
                     21,                0.56997,                0.65418,                 1.1062,                0.29505,                0.28005,                0.23737,                0.07179,                 2.6982,                 2.3688,                 3.7665,              0.0010399,              0.0010399,              0.0010399
                     22,                0.54712,                0.62005,                 1.0988,                0.39564,                 0.5113,                0.32408,                0.10577,                 2.5313,                 2.3209,                 3.4189,              0.0010069,              0.0010069,              0.0010069
                     23,                0.57335,                0.62064,                 1.1249,                0.32092,                0.36111,                0.22406,                0.09209,                 2.8555,                 2.4355,                 3.8307,             0.00097386,             0.00097386,             0.00097386
